system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,NO3,cloud_cover,date,elev,img_qual,lat,lon,ppt,radsat_qa_median,sensor,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_1_LT05_014030_19870610_0000000000000000000e,404.0,16,783.0,662.0,3375.0,2567.0,2888.0,1355.0,0.79,2.0,1987-06-10,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,122.278526,30.594845,92.0,0.0,
1_1_LT05_014030_19870813_0000000000000000000e,395.0,16,720.0,635.0,3578.0,2379.0,2951.0,1193.0,0.79,2.0,1987-08-13,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,130.223999,37.659199,87.0,0.0,
1_1_LT05_014030_19880612_0000000000000000000e,568.0,16,804.0,730.0,3529.0,2641.0,2915.0,1409.0,0.79,1.0,1988-06-12,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,123.862778,29.653534,364.0,0.0,
1_1_LT05_014030_19880628_0000000000000000000e,482.0,16,875.0,712.0,4025.0,2790.0,2929.0,1439.0,0.79,17.0,1988-06-28,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,122.633331,30.120689,138.0,0.0,
1_1_LT05_014030_19880916_0000000000000000000e,420.0,16,674.0,688.0,2855.0,2474.0,2855.0,1291.0,0.79,0.0,1988-09-16,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,144.125595,46.548473,9.0,0.0,
1_1_LT05_014030_19890818_0000000000000000000e,619.0,16,923.0,773.0,3679.0,2305.0,2816.0,1145.0,0.79,9.0,1989-08-18,500,7.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,132.188889,38.955364,288.0,0.0,
1_1_LT05_014030_19890903_0000000000000000000e,387.0,16,660.0,604.0,3359.0,2483.0,2874.0,1154.0,0.79,4.0,1989-09-03,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,137.939957,43.17001,44.0,0.0,
1_1_LT05_014030_19900501_0000000000000000000e,790.0,16,1059.0,1236.0,2333.0,2793.0,2846.0,1829.0,0.79,8.0,1990-05-01,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,130.351746,37.115601,192.0,0.0,
1_1_LT05_014030_19900602_0000000000000000000e,714.0,16,1044.0,961.0,3150.0,2955.0,2933.0,1734.0,0.79,43.0,1990-06-02,500,7.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,122.260338,31.685791,395.0,0.0,
1_1_LT05_014030_19900821_0000000000000000000e,335.0,16,683.0,562.0,4010.0,2498.0,2902.0,1134.0,0.79,86.0,1990-08-21,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,131.099854,40.512524,97.0,0.0,
